R,K,epic,session,n,n_changed,net_dR,net_dpts,false_bails,good_bails
0.5,2,DE40,Asia,909.0,52.0,0.04,84.2,1.0,23.0
0.5,2,DE40,London,316.0,22.0,-0.46,-101.3,0.0,8.0
0.5,2,DE40,NY,156.0,5.0,0.93,296.7,0.0,4.0
0.5,2,DE40,Overlap,257.0,10.0,0.85,316.5,0.0,6.0
0.5,2,EURGBP,Asia,68.0,0.0,0.0,0.0,0.0,0.0
0.5,2,EURGBP,London,185.0,0.0,0.0,0.0,0.0,0.0
0.5,2,EURGBP,NY,73.0,1.0,0.1,0.0,0.0,1.0
0.5,2,EURGBP,Overlap,235.0,0.0,0.0,0.0,0.0,0.0
0.5,2,EURUSD,Asia,736.0,6.0,0.36,0.0,0.0,3.0
0.5,2,EURUSD,London,486.0,5.0,0.14,0.0,0.0,3.0
0.5,2,EURUSD,NY,174.0,0.0,0.0,0.0,0.0,0.0
0.5,2,EURUSD,Overlap,288.0,1.0,0.03,0.0,0.0,1.0
0.5,2,GBPUSD,Asia,1054.0,5.0,-0.04,-0.0,0.0,3.0
0.5,2,GBPUSD,London,451.0,5.0,-0.31,-0.0,0.0,1.0
0.5,2,GBPUSD,NY,194.0,0.0,0.0,0.0,0.0,0.0
0.5,2,GBPUSD,Overlap,309.0,3.0,0.05,0.0,0.0,3.0
0.5,2,GOLD,Asia,805.0,50.0,1.18,143.3,1.0,25.0
0.5,2,GOLD,London,447.0,41.0,0.88,17.7,0.0,17.0
0.5,2,GOLD,NY,153.0,4.0,0.24,1.6,0.0,3.0
0.5,2,GOLD,Overlap,336.0,35.0,2.66,171.5,0.0,19.0
0.5,2,UK100,Asia,268.0,9.0,-1.65,-237.8,1.0,3.0
0.5,2,UK100,London,127.0,4.0,0.61,90.7,0.0,4.0
0.5,2,UK100,NY,64.0,0.0,0.0,0.0,0.0,0.0
0.5,2,UK100,Overlap,93.0,5.0,0.5,74.3,0.0,2.0
0.5,2,US500,Asia,603.0,6.0,-0.77,-55.5,0.0,1.0
0.5,2,US500,London,459.0,31.0,-1.51,-136.0,0.0,13.0
0.5,2,US500,NY,241.0,8.0,-0.05,7.1,0.0,4.0
0.5,2,US500,Overlap,359.0,24.0,-1.69,-141.7,0.0,6.0
0.5,2,USDJPY,Asia,981.0,13.0,-0.01,-0.0,0.0,5.0
0.5,2,USDJPY,London,435.0,4.0,0.11,0.2,0.0,1.0
0.5,2,USDJPY,NY,176.0,1.0,-0.19,-0.4,0.0,0.0
0.5,2,USDJPY,Overlap,307.0,2.0,-0.05,-0.1,0.0,1.0
