candidate,epic,session,n,n_changed,net_dpts,net_dR,win_to_loss,loser_saved
atr_x2.5,DE40,Asia,909.0,324.0,1056.6,38.96,36.0,110.0
atr_x2.5,DE40,London,316.0,99.0,879.7,11.06,4.0,38.0
atr_x2.5,DE40,NY,156.0,13.0,425.6,4.36,0.0,5.0
atr_x2.5,DE40,Overlap,257.0,56.0,616.3,0.92,2.0,24.0
atr_x2.5,GOLD,Asia,805.0,249.0,230.4,-5.59,8.0,80.0
atr_x2.5,GOLD,London,447.0,150.0,13.5,2.83,16.0,58.0
atr_x2.5,GOLD,NY,153.0,19.0,-31.5,1.36,1.0,7.0
atr_x2.5,GOLD,Overlap,336.0,109.0,-156.9,-14.85,7.0,41.0
atr_x2.5,UK100,Asia,268.0,85.0,-269.4,-6.9,9.0,23.0
atr_x2.5,UK100,London,127.0,39.0,333.8,18.16,2.0,19.0
atr_x2.5,UK100,NY,64.0,5.0,-39.7,-0.93,0.0,1.0
atr_x2.5,UK100,Overlap,93.0,30.0,246.0,6.38,1.0,16.0
atr_x2.5,US500,Asia,603.0,146.0,-185.3,-15.41,2.0,45.0
atr_x2.5,US500,London,459.0,152.0,25.4,20.56,15.0,49.0
atr_x2.5,US500,NY,241.0,33.0,32.6,5.4,3.0,17.0
atr_x2.5,US500,Overlap,359.0,149.0,-80.2,10.1,4.0,51.0
