X,K,epic,session,n,n_changed,net_dR,net_dpts,false_bails,good_bails
1.0,1,DE40,Asia,909.0,42.0,1.36,476.2,4.0,19.0
1.0,1,DE40,London,316.0,4.0,0.83,312.7,0.0,1.0
1.0,1,DE40,NY,156.0,1.0,-0.13,-30.0,0.0,0.0
1.0,1,DE40,Overlap,257.0,3.0,0.01,7.5,1.0,1.0
1.0,1,EURGBP,Asia,68.0,4.0,0.01,0.0,1.0,1.0
1.0,1,EURGBP,London,185.0,0.0,0.0,0.0,0.0,0.0
1.0,1,EURGBP,NY,73.0,1.0,0.51,0.0,0.0,1.0
1.0,1,EURGBP,Overlap,235.0,2.0,-0.05,-0.0,0.0,1.0
1.0,1,EURUSD,Asia,736.0,14.0,0.25,0.0,2.0,8.0
1.0,1,EURUSD,London,486.0,10.0,0.13,0.0,2.0,5.0
1.0,1,EURUSD,NY,174.0,0.0,0.0,0.0,0.0,0.0
1.0,1,EURUSD,Overlap,288.0,2.0,0.1,0.0,0.0,1.0
1.0,1,GBPUSD,Asia,1054.0,25.0,-0.02,0.0,2.0,10.0
1.0,1,GBPUSD,London,451.0,8.0,-0.3,-0.0,0.0,3.0
1.0,1,GBPUSD,NY,194.0,0.0,0.0,0.0,0.0,0.0
1.0,1,GBPUSD,Overlap,309.0,4.0,-0.28,-0.0,1.0,1.0
1.0,1,GOLD,Asia,805.0,19.0,0.52,41.5,1.0,7.0
1.0,1,GOLD,London,447.0,18.0,0.04,0.7,3.0,7.0
1.0,1,GOLD,NY,153.0,1.0,-0.56,-39.4,1.0,0.0
1.0,1,GOLD,Overlap,336.0,11.0,-0.55,-57.6,0.0,4.0
1.0,1,UK100,Asia,268.0,10.0,-0.23,-31.7,3.0,2.0
1.0,1,UK100,London,127.0,2.0,-0.37,-55.3,1.0,0.0
1.0,1,UK100,NY,64.0,0.0,0.0,0.0,0.0,0.0
1.0,1,UK100,Overlap,93.0,2.0,-0.15,-22.9,0.0,0.0
1.0,1,US500,Asia,603.0,14.0,-0.21,-10.5,2.0,4.0
1.0,1,US500,London,459.0,19.0,0.99,86.3,0.0,9.0
1.0,1,US500,NY,241.0,1.0,-0.07,-5.7,0.0,0.0
1.0,1,US500,Overlap,359.0,10.0,0.69,54.5,2.0,6.0
1.0,1,USDJPY,Asia,981.0,15.0,0.88,1.9,1.0,5.0
1.0,1,USDJPY,London,435.0,15.0,0.05,0.1,1.0,7.0
1.0,1,USDJPY,NY,176.0,0.0,0.0,0.0,0.0,0.0
1.0,1,USDJPY,Overlap,307.0,9.0,-0.37,-0.9,1.0,3.0
