strategy,epic,n,win_pct,pf,expectancy_per_trade,expectancy_ratio,avg_spread,scope,session
momentum,USDJPY,46.0000,0.4348,2.2199,0.1494,14.9435,0.0100,per-session,London
orb,US500,78.0000,0.5513,1.6716,4.0141,8.0282,0.5000,per-session,NY
momentum,USDJPY,74.0000,0.4459,1.6031,0.0748,7.4757,0.0100,per-session,Asia
momentum,DE40,132.0000,0.4167,1.1946,5.6826,5.6826,1.0000,per-session,London
momentum,US500,48.0000,0.3958,1.3424,2.5854,5.1708,0.5000,per-session,London
mean_reversion,USDJPY,176.0000,0.6534,2.0617,0.0419,4.1932,0.0100,per-session,NY
orb,DE40,731.0000,0.4350,1.1089,4.0283,4.0283,1.0000,all-session,
orb,DE40,720.0000,0.4319,1.1041,3.8800,3.8800,1.0000,per-session,London
momentum,UK100,38.0000,0.4474,1.4660,3.8579,3.8579,1.0000,per-session,London
momentum,UK100,88.0000,0.4773,1.3536,3.4920,3.4920,1.0000,all-session,
orb,UK100,219.0000,0.4018,1.1923,2.9539,2.9539,1.0000,all-session,
momentum,GOLD,65.0000,0.3692,1.1710,0.9411,2.6888,0.3500,per-session,London
orb,USDJPY,773.0000,0.3855,1.1984,0.0265,2.6536,0.0100,per-session,London
orb,USDJPY,774.0000,0.3850,1.1973,0.0264,2.6384,0.0100,all-session,
orb,UK100,213.0000,0.3944,1.1667,2.5939,2.5939,1.0000,per-session,London
mean_reversion,GOLD,153.0000,0.5948,1.2814,0.8546,2.4416,0.3500,per-session,NY
momentum,EURGBP,36.0000,0.4722,1.7102,0.0002,2.3278,0.0001,per-session,Overlap
momentum,USDJPY,225.0000,0.4044,1.1546,0.0219,2.1907,0.0100,all-session,
mean_reversion,UK100,64.0000,0.6094,1.4079,2.0875,2.0875,1.0000,per-session,NY
mean_reversion,UK100,268.0000,0.7239,1.3164,2.0799,2.0799,1.0000,per-session,Asia
orb,US500,737.0000,0.4423,1.1227,1.0119,2.0239,0.5000,all-session,
mean_reversion,GOLD,447.0000,0.6980,1.1359,0.5249,1.4998,0.3500,per-session,London
mean_reversion,DE40,257.0000,0.6187,1.0532,1.4035,1.4035,1.0000,per-session,Overlap
mean_reversion,GBPUSD,451.0000,0.6585,1.2010,0.0001,1.3408,0.0001,per-session,London
orb,US500,659.0000,0.4294,1.0771,0.6566,1.3132,0.5000,per-session,Overlap
mean_reversion,EURGBP,185.0000,0.6973,1.3642,0.0001,1.3076,0.0001,per-session,London
